"ds","Residuals"
1995-01-01,0.175849912075066
1996-01-01,-1.99000000000858
1997-01-01,-2.28
1998-01-01,2.55999999999997
1999-01-01,-4.54999999999998
2000-01-01,-2.45000000000002
2001-01-01,-3.16
2002-01-01,-1.88999999999999
2003-01-01,-8.52000000000001
2004-01-01,7.66
2005-01-01,-3.38
2006-01-01,2.36000000000001
2007-01-01,7.03
2008-01-01,6.22999999999999
2009-01-01,-0.109999999999985
2010-01-01,5.97
2011-01-01,5.57999999999998
2012-01-01,2.39000000000001
2013-01-01,17.76
2014-01-01,13.07
2015-01-01,4.81999999999999
2016-01-01,-0.659999999999997
2017-01-01,3.86000000000001
2018-01-01,2.69
2019-01-01,4.37
2020-01-01,71.39
2021-01-01,-44.34
2022-01-01,-8.95999999999998
