"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2023,280.21666895569,255.849191575471,304.584146335909,242.949828242161,317.483509669218
2024,286.086580248645,260.047156543626,312.126003953664,246.262718289311,325.910442207978
2025,291.9564915416,262.98570115197,320.92728193123,247.649491110287,336.263491972913
2026,297.826402834555,264.504342803694,331.148462865416,246.864709753236,348.788095915875
2027,303.69631412751,264.639691376776,342.752936878245,243.96436419487,363.428264060151
2028,309.566225420465,263.521162735477,355.611288105454,239.146378919699,379.986071921231
2029,315.43613671342,261.290710200567,369.581563226273,232.627852797311,398.24442062953
2030,321.306048006375,258.068844489354,384.543251523397,224.593091065216,418.019004947535
2031,327.175959299331,253.948403229489,400.403515369172,215.184076622503,439.167841976159
2032,333.045870592286,248.998342969872,417.0933982147,204.506269410055,461.585471774517
2033,338.915781885241,243.269330125609,434.562233644872,192.637157022993,485.194406747489
2034,344.785693178196,236.798539182732,452.77284717366,179.633592931532,509.937793424859
