"ds","Forecast","Lower95","Upper95"
4494863-04-04,244.756642892681,197.60342289737,291.909862887992
4494864-04-03,244.756686454196,197.603462909739,291.909909998654
4494865-04-03,244.756730015712,197.603502922106,291.909957109318
4494866-04-03,244.756773577228,197.603542934469,291.910004219986
4494867-04-03,244.756817138743,197.60358294683,291.910051330656
4494868-04-02,244.756860700259,197.603622959189,291.910098441329
4494869-04-02,244.756904261774,197.603662971544,291.910145552005
4494870-04-02,244.75694782329,197.603702983897,291.910192662683
4494871-04-02,244.756991384806,197.603742996247,291.910239773364
4494872-04-01,244.757034946321,197.603783008594,291.910286884048
4494873-04-01,244.757078507837,197.603823020938,291.910333994735
4494874-04-01,244.757122069352,197.60386303328,291.910381105425
