"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1995-01-01,175.85,165.438702009788,178.02648954004,143.064114954549,175.674150087925
1996-01-01,173.86,171.228010807909,173.657476251208,146.82782990055,175.850000000009
1997-01-01,171.58,163.288444081791,169.694890834439,150.601856394349,173.86
1998-01-01,174.14,162.951747361695,166.293989969968,154.36557134035,171.58
1999-01-01,169.59,165.6796004084,165.066797614281,158.129286286351,174.14
2000-01-01,167.14,171.46890921254,164.028589959608,161.893001232353,169.59
2001-01-01,163.98,163.529342500559,163.257963230484,165.667027726151,167.14
2002-01-01,162.09,163.192645833685,162.224836847077,169.430742672153,163.98
2003-01-01,153.57,165.921010250714,161.035579162606,173.194457618154,162.09
2004-01-01,161.23,171.717698028142,157.516843623573,176.958172564155,153.57
2005-01-01,157.85,163.793128396143,156.34263314924,180.732199057954,161.23
2006-01-01,160.21,163.47524808405,155.058465137392,184.495914003955,157.85
2007-01-01,167.24,166.231887516948,155.159059712412,188.259628949957,160.21
2008-01-01,173.47,177.50652436389,158.25257182771,192.023343895958,167.24
2009-01-01,173.36,176.086105963507,164.235654766304,195.797370389756,173.47
2010-01-01,179.33,182.259396032835,170.695966463378,199.561085335758,173.36
2011-01-01,184.91,191.506517758394,178.438394318196,203.324800281759,179.33
2012-01-01,187.3,203.818258611871,186.859242031942,207.08851522776,184.91
2013-01-01,205.06,202.425692738107,194.400005974784,210.862541721559,187.3
2014-01-01,218.13,208.620327884383,205.227918260751,214.62625666756,205.06
2015-01-01,222.95,217.879512802994,218.440070970559,218.389971613562,218.13
2016-01-01,222.29,230.20015660865,231.041019187969,222.153686559563,222.95
2017-01-01,226.15,228.809818967292,240.176484484824,225.927713053361,222.29
2018-01-01,228.84,235.004457258726,246.27312363291,229.691427999363,226.15
2019-01-01,233.21,244.263645316255,249.088829731308,233.455142945364,228.84
2020-01-01,304.6,256.584289127393,249.649336329465,237.218857891365,233.21
2021-01-01,260.26,255.193951486038,270.012205464109,240.992884385164,304.6
2022-01-01,251.3,261.388589777485,278.653137414231,244.756599331165,260.26
