"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2023-01-01,270.647777834998,254.87117564999,285.67189482562,280.21666895569,242.949828242161,317.483509669218,244.756642892681,197.60342289737,291.909862887992,251.3,217.438467487025,285.161532512975
2024-01-01,282.968421646187,269.679571866392,298.150535621207,286.086580248645,246.262718289311,325.910442207978,244.756686454196,197.603462909739,291.909909998654,251.3,203.412561477414,299.187438522586
2025-01-01,281.578084004823,266.733274169477,296.751400924206,291.9564915416,247.649491110287,336.263491972913,244.756730015712,197.603502922106,291.909957109318,251.3,192.650105265383,309.949894734617
2026-01-01,287.772722296242,272.973046530095,302.137695388752,297.826402834555,246.864709753236,348.788095915875,244.756773577228,197.603542934469,291.910004219986,251.3,183.576934974051,319.023065025949
2027-01-01,297.031910353776,282.950046608599,311.522851387135,303.69631412751,243.96436419487,363.428264060151,244.756817138743,197.60358294683,291.910051330656,251.3,175.58331147867,327.01668852133
2028-01-01,309.352554164909,294.008642537517,324.99097998685,309.566225420465,239.146378919699,379.986071921231,244.756860700259,197.603622959189,291.910098441329,251.3,168.35652343455,334.24347656545
2029-01-01,307.962216523556,291.421415196865,324.50348038429,315.43613671342,232.627852797311,398.24442062953,244.756904261774,197.603662971544,291.910145552005,251.3,161.710805959141,340.889194040859
2030-01-01,314.156854814997,298.260575835943,330.708673675073,321.306048006375,224.593091065216,418.019004947535,244.75694782329,197.603702983897,291.910192662683,251.3,155.525122954828,347.074877045172
2031-01-01,323.416042872537,306.942044974906,340.763551464009,327.175959299331,215.184076622503,439.167841976159,244.756991384806,197.603742996247,291.910239773364,251.3,149.715402461076,352.884597538924
2032-01-01,335.736686683709,318.374283615522,354.320862647648,333.045870592286,204.506269410055,461.585471774517,244.757034946321,197.603783008594,291.910286884048,251.3,144.220432195155,358.379567804845
2033-01-01,334.346349042301,314.236584542528,353.727187607041,338.915781885241,192.637157022993,485.194406747489,244.757078507837,197.603823020938,291.910333994735,251.3,138.994001828043,363.605998171957
2034-01-01,340.54098733376,320.668295838609,360.412132287815,344.785693178196,179.633592931532,509.937793424859,244.757122069352,197.60386303328,291.910381105425,251.3,134.000210530765,368.599789469235
